date,user_id,type,value
2019-06-14T16:55:42.022Z,2802,sleep,1.00882601738
2018-11-23T05:03:00.021Z,1269,sleep,0.0
2019-05-11T15:19:05.540Z,4209,anticipatoryStress,1.29064321518
2019-04-06T14:08:55.244Z,1074,sleep,3.48
2019-03-18T12:46:57.316Z,1371,sleep,3.0
2019-03-05T14:50:02.462Z,2554,sleep,4.0
2019-05-14T13:08:19.348Z,7019,sleep,1.57237553596
2018-09-18T14:27:22.150Z,8355,sleep,3.18015813828
2019-07-22T12:45:16.006Z,3182,sleep,2.41798973083
2018-12-09T13:01:43.986Z,5333,mood,3.0
2019-06-08T13:12:25.026Z,650,mood,1.52
2019-06-18T23:31:21.290Z,1371,mood,1.91950559616
2019-06-21T13:18:47.311Z,7209,sleep,4.0
2019-02-03T13:50:31.656Z,2435,mood,2.04
2018-12-19T19:25:08.554Z,2435,mood,4.0
2019-06-18T18:18:34.514Z,597,mood,2.88342618942
2018-12-04T18:26:54.879Z,6984,sleep,0.0
2018-10-22T14:25:01.636Z,2802,mood,2.0
2019-06-10T14:53:26.771Z,3044,sleep,3.96
2018-11-25T14:39:47.727Z,3782,sleep,1.52
2019-04-17T16:43:52.820Z,7566,sleep,3.96
2018-10-16T20:40:10.633Z,2012,mood,2.88
2018-12-05T21:36:26.998Z,2666,mood,3.09127116203
2019-06-29T21:23:24.089Z,603,sleep,2.29610705376
2019-05-08T12:05:55.219Z,1260,mood,2.24
2018-09-30T15:58:46.493Z,3044,mood,3.92
2018-12-04T12:39:47.882Z,2703,mood,3.96
2018-12-25T14:14:39.685Z,1487,mood,3.74339842796
2019-02-21T14:40:06.257Z,603,anticipatoryStress,4.0
2019-07-24T14:54:55.561Z,2025,mood,1.37033367157
2018-11-18T16:22:27.558Z,2012,anticipatoryStress,3.96
2018-11-01T14:18:51.393Z,5333,sleep,1.50227832794
2019-06-02T19:37:02.407Z,2703,sleep,1.8399999
2018-11-12T16:01:31.428Z,2802,mood,0.48000002
2019-07-24T14:54:55.582Z,3782,mood,3.0
2019-07-11T13:58:52.706Z,2012,sleep,1.8399999
2018-09-22T19:01:34.580Z,1269,ruminationStress,1.88521671295
2019-05-18T11:45:15.398Z,2311,mood,4.0
2018-09-25T21:53:41.866Z,2666,sleep,0.03999996
2019-02-22T19:20:57.923Z,2025,sleep,3.08
2019-03-31T14:31:35.012Z,1269,mood,0.03999996
2019-02-27T03:14:39.347Z,1822,mood,2.90188574791
2019-07-02T13:12:31.986Z,2802,sleep,1.9200001
2019-07-18T16:18:40.033Z,2666,sleep,3.48971843719
2018-09-29T17:10:10.636Z,3435,mood,1.10078501701
2019-04-10T17:54:55.829Z,7019,mood,2.92
2019-01-09T21:05:01.663Z,2802,mood,3.8
